,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,Class
20,958,956,942,921,906,872,867,1031,1191,1234,669,828,960,957,943,922,907,872,867,1031,1191,1234,669,828,960,957,943,922,907,872,867,1031,1191,1234,669,828,960,957,943,922,907,872,867,1031,1191,1234,669,828,960,957,943,922,907,872,867,1031,1191,1234,669,828,960,957,943,922,907,872,867,1031,1191,1234,669,828,960,957,943,922,907,872,867,1031,1191,1234,669,828,960,957,943,922,907,872,867,1031,1191,1234,669,828,960,957,943,922,907,872,867,1031,1191,1234,669,828,960,957,943,922,907,872,867,1031,1191,1234,669,828,960,957,943,922,907,872,867,1031,1191,1234,669,828,3753,3750,3735,3709,3693,3643,3576,3186,2348,1984,690,849,4589,4586,4571,4545,4529,4479,4412,4022,3184,2820,1525,839,1
21,983,970,954,934,909,891,976,1240,1386,1411,806,817,984,971,955,935,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,4557,4543,4522,4497,4455,4415,4250,3574,2575,2143,822,833,4572,4558,4537,4512,4470,4430,4265,3589,2590,2158,837,839,0
22,938,923,909,888,878,914,1115,1316,1408,1344,805,816,953,938,924,902,892,924,1123,1322,1413,1349,806,817,954,939,924,902,892,924,1123,1322,1413,1349,806,817,954,939,924,902,892,924,1123,1322,1413,1349,806,817,954,939,924,902,892,924,1123,1322,1413,1349,806,817,954,939,924,902,892,924,1123,1322,1413,1349,806,817,954,939,924,902,892,924,1123,1322,1413,1349,806,817,954,939,924,902,892,924,1123,1322,1413,1349,806,817,954,939,924,902,892,924,1123,1322,1413,1349,806,817,954,939,924,902,892,924,1123,1322,1413,1349,806,817,954,939,924,902,892,924,1123,1322,1413,1349,806,817,4519,4499,4478,4445,4414,4332,3865,3103,2249,1859,822,833,4535,4515,4494,4461,4430,4348,3881,3119,2265,1875,838,839,1
23,958,956,942,921,906,872,867,1030,1191,1235,669,828,960,957,943,922,907,872,867,1030,1191,1235,669,828,960,957,943,922,907,872,867,1030,1191,1235,669,828,960,957,943,922,907,872,867,1030,1191,1235,669,828,960,957,943,922,907,872,867,1030,1191,1235,669,828,960,957,943,922,907,872,867,1030,1191,1235,669,828,960,957,943,922,907,872,867,1030,1191,1235,669,828,960,957,943,922,907,872,867,1030,1191,1235,669,828,960,957,943,922,907,872,867,1030,1191,1235,669,828,960,957,943,922,907,872,867,1030,1191,1235,669,828,960,957,943,922,907,872,867,1030,1191,1235,669,828,3758,3755,3740,3714,3698,3648,3581,3190,2351,1986,690,849,4589,4586,4571,4545,4529,4479,4412,4021,3182,2817,1521,839,1
24,938,924,909,888,878,913,1114,1317,1408,1344,805,816,953,939,924,902,892,923,1122,1323,1413,1349,806,817,954,940,924,902,892,923,1122,1323,1413,1349,806,817,954,940,924,902,892,923,1122,1323,1413,1349,806,817,954,940,924,902,892,923,1122,1323,1413,1349,806,817,954,940,924,902,892,923,1122,1323,1413,1349,806,817,954,940,924,902,892,923,1122,1323,1413,1349,806,817,954,940,924,902,892,923,1122,1323,1413,1349,806,817,954,940,924,902,892,923,1122,1323,1413,1349,806,817,954,940,924,902,892,923,1122,1323,1413,1349,806,817,954,940,924,902,892,923,1122,1323,1413,1349,806,817,4519,4500,4478,4445,4414,4332,3867,3106,2249,1860,822,833,4535,4516,4494,4461,4430,4348,3883,3122,2265,1876,838,839,1
25,983,970,954,934,909,891,976,1240,1386,1411,806,817,984,971,955,935,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,4557,4543,4522,4497,4455,4415,4250,3574,2575,2143,822,833,4572,4558,4537,4512,4470,4430,4265,3589,2590,2158,837,839,0
26,983,970,954,934,909,891,976,1240,1386,1411,806,817,984,971,955,935,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,4557,4543,4522,4497,4455,4415,4250,3574,2575,2143,822,833,4572,4558,4537,4512,4470,4430,4265,3589,2590,2158,837,839,0
27,983,970,954,934,909,891,976,1240,1386,1411,806,817,984,971,955,935,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,4557,4543,4522,4497,4455,4415,4250,3574,2575,2143,822,833,4572,4558,4537,4512,4470,4430,4265,3589,2590,2158,837,839,0
28,983,970,954,934,909,891,976,1240,1386,1411,806,817,984,971,955,935,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,4557,4543,4522,4497,4455,4415,4250,3574,2575,2143,822,833,4572,4558,4537,4512,4470,4430,4265,3589,2590,2158,837,839,0
29,983,970,954,934,909,891,976,1240,1386,1411,806,817,984,971,955,935,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,985,972,956,936,910,892,976,1240,1386,1411,806,817,4557,4543,4522,4497,4455,4415,4250,3574,2575,2143,822,833,4572,4558,4537,4512,4470,4430,4265,3589,2590,2158,837,839,0
