,0,1,2,3,4,5,6,7,8,9,10,11,12,Class
37,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
38,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
39,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
40,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
41,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
42,1001,1016,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,1
43,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4586,4609,1
44,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,4589,4609,1
45,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
46,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4592,4609,1
47,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4581,4609,1
48,1014,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4591,4609,1
49,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
50,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
51,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
52,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
53,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
54,997,1010,1013,1013,1013,1013,1013,1013,1013,1013,1013,4588,4609,1
55,1011,1013,1013,1013,1013,1013,1013,1013,1013,1013,1013,4588,4609,1
56,1006,1007,1009,1009,1009,1009,1009,1009,1009,1009,1009,4582,4609,1
57,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
58,989,1002,1005,1005,1005,1005,1005,1005,1005,1005,1005,4578,4609,1
59,1011,1013,1013,1013,1013,1013,1013,1013,1013,1013,1013,4588,4609,1
60,1003,1004,1006,1006,1006,1006,1006,1006,1006,1006,1006,4579,4609,1
61,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
62,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
63,1016,1017,1019,1019,1019,1019,1019,1019,1019,1019,1019,4594,4609,0
